"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","hr","n_fog","n_gra","n_llu","n_nie","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nw_55","nw_91","p_max","p_mes","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_min","w_med","tasa_de_paro"
2002,2,10,"CACERES",25,72.86,21.75,51.11,0,0,0,25,21.75,51.11,89,70,6.66666666666667,0,16.6666666666667,0,17.7666666666667,11.1,2.23333333333333,0,6,0,0,3.33333333333333,0,10.23,21.7,102.48,98.79,97.8,96.37,20.32,-0.32,11,15.48,9.98,4.44,8.72,8,18.2096873083998
2002,2,11,"CADIZ",3,1.94,0,1.94,0,0,0,3,0,1.94,118.67,74.67,26.6666666666667,0,13.3333333333333,0,15,8.9,2.23333333333333,0,0,0,0,8.56666666666667,0,9.97,16.8,102.435,103.1,102.245,101.215,21.17,5.59,12.71,17.43,12.93,8.39,11.54,11.57,27.8467691012418
2002,2,12,"CASTELLON",5,30.8,1.11,29.69,0,0,0,5,1.11,29.69,97,65,13.3333333333333,0,3.33333333333333,0,5,1.66666666666667,0,0,15,0,0,21.6666666666667,1.66666666666667,1.45,1.65,102.14,102.77,101.61,100.58,21.55,1.4,5.9,14.2,9.65,5.05,10.1,11.5,5.57222460351479
2002,2,13,"CIUDAD REAL",4,8.5,0,8.5,0,0,0,4,0,8.5,82,68,23.3333333333333,0,10,0,6.66666666666667,3.33333333333333,0,0,20,0,0,3.33333333333333,0,1.5,2.2,102.5,95.94,95.07,93.85,20.4,-1.8,9.4,15.9,9.2,2.4,9.2,8,11.36
2002,2,14,"CORDOBA",0,0,0,0,0,0,0,0,0,0,96,69,6.66666666666667,0,16.6666666666667,0,10,5.56666666666667,0,0,2.23333333333333,0,0,0,0,4.03,6,102.47,102.3,101.36,100.29,20.77,1.1,10.23,16.33,10.77,5.17,9.37,5.33,19.0822053482998
2002,2,15,"A CORU<U+00C3>",31,19.69,4.21,15.48,0,0,0,31,4.21,15.48,99.71,75.86,29.1666666666667,2.5,58.3333333333333,0,53.3333333333333,38.1,11.9,3.33333333333333,0.833333333333333,0,3.33333333333333,32.3666666666667,6.66666666666667,36.06,126.2,102.218,102.225,100.663,98.992,16.59,2.41,10.13,13.04,10.26,7.43,11.35,18,14.5231664242676
2002,2,16,"CUENCA",7,6.24,1.51,4.73,0,0,0,7,1.51,4.73,62,59,6.66666666666667,3.33333333333333,13.3333333333333,0,13.3333333333333,3.33333333333333,0,0,36.6666666666667,0,0,0,0,2.6,3.3,102.42,92.21,91.34,90.22,19.7,-4.5,7.5,14.3,7.5,0.6,6.8,4,7.4424898511502
2002,2,17,"GIRONA",22,8.08,1.99,6.09,0,0,0,22,1.99,6.09,88,75,16.6666666666667,0,16.6666666666667,0,28.9,10,1.1,0,48.9,0,3.33333333333333,8.33333333333333,0,10.2,18.77,102.05,101.51,100.48,99.22,17.4,-4.63,3.73,11.83,5.7,-0.5,4.57,5.33,10.2384291725105
2002,2,18,"GRANADA",7,2.9,0,2.9,0,0,0,7,0,2.9,70.5,59,1.66666666666667,0,8.33333333333333,0,6,4,0.666666666666667,0,28.6666666666667,0,0,1.66666666666667,0,4.16,4.78,102.425,95.865,94.995,94.01,23.28,-2.14,8.68,17.4,9.42,1.34,6.12,7.83,20.9126624357812
2002,2,19,"GUADALAJARA",8,14.63,0,14.63,0,0,0,8,0,14.63,63,63.5,10,0,11.6666666666667,0,10,10,0,0,68.3333333333333,0,0,6.66666666666667,0,4.7,9.55,102.355,93.35,92.415,91.19,19.25,-6.8,6.65,13.5,6.15,-1.35,7.25,7.67,9.62566844919786
2002,2,20,"GUIPUZCOA",21,428.5,165.97,262.53,0,0,0,21,165.97,262.53,93,72.5,5,3.33333333333333,53.3333333333333,0,53.3333333333333,43.3333333333333,14.1666666666667,1.66666666666667,0,0,3.33333333333333,25.8333333333333,2.5,29.5,118.8,102.29,102.13,100.685,99.4,21.53,4.2,7.08,14.2,10.8,7.35,12.98,12.25,7.14508580343213
2002,2,21,"HUELVA",3,2.54,0,2.54,0,0,0,3,0,2.54,114,74,6.66666666666667,0,6.66666666666667,0,20,6.66666666666667,0,0,0,0,0,0,0,2.9,5.25,102.45,103.12,102.21,101.11,22.9,2.85,15.15,18.95,12.8,6.6,10.95,7,17.2813487881981
2002,2,22,"HUESCA",13,35.05,0.6,34.45,0,0,0,13,0.6,34.45,74,67,0,0,16.6666666666667,0,13.3333333333333,10,0,0,23.3333333333333,0,0,40,10,7.8,12,102.07,96.45,95.5,94.46,21.3,-2.15,3,12.6,7.3,2,7.3,15.5,5.26918671248568
2002,2,23,"JAEN",5,16.74,1.02,15.72,0,0,0,5,1.02,15.72,81,60,0,0,5,0,5,0,0,0,0,0,0,0,0,0.3,0.8,102.55,96.51,95.72,94.66,20.65,1.85,9.15,15.9,11.1,6.2,10.05,5,12.8295946477765
